256, 78,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,858,0,0,0,15,0,0,0,0,0,0,0,15,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,
512, 0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,
1024, 0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,
2048, 0,0,15,0,15,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,15,31,0,15,0,0,0,15,0,0,15,0,0,0,15,0,0,15,0,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,46,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,
4096, 0,15,15,0,0,15,46,15,0,15,15,15,15,0,15,15,15,15,0,15,15,31,15,15,15,0,15,15,15,15,15,0,15,15,0,15,15,15,15,15,0,0,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,0,15,15,15,0,15,15,15,15,15,15,15,15,0,15,15,15,0,15,15,15,0,15,15,15,31,0,0,15,15,15,0,0,15,15,15,0,15,15,31,15,15,15,
8192, 46,46,62,31,46,46,46,46,46,46,31,62,46,31,46,31,78,46,62,46,46,46,31,46,46,46,62,31,62,62,31,31,78,31,46,31,46,31,46,31,31,62,31,46,31,31,46,31,47,31,62,31,31,31,46,46,46,31,46,31,78,46,31,31,78,31,46,46,31,62,46,31,46,46,31,46,46,48,46,46,31,46,46,46,31,46,31,62,31,46,46,78,46,31,31,62,31,31,46,31,
16384, 171,156,171,156,171,171,187,187,171,171,140,171,171,171,187,187,171,171,156,171,171,171,187,187,171,156,140,171,156,171,156,187,156,171,156,156,173,156,156,187,171,187,156,171,171,156,171,140,171,187,171,172,140,156,156,171,124,218,172,171,203,187,187,172,187,187,172,156,171,171,140,187,218,187,171,171,187,171,187,171,202,187,187,187,187,156,218,187,187,202,171,172,171,218,202,187,204,171,187,187,
32768, 748,764,748,717,748,717,863,709,1143,1094,898,836,1855,822,704,858,733,2278,1116,1035,811,1346,679,748,832,1034,929,936,701,725,683,748,608,641,624,639,1000,718,1047,688,702,643,957,930,748,1052,1328,711,784,715,733,702,717,641,702,717,748,686,733,686,717,702,748,733,717,686,717,624,702,639,670,655,702,702,717,624,705,624,686,624,624,733,624,670,704,704,686,748,702,826,717,670,639,655,670,686,639,639,686,748,
65536, 2654,2654,2823,2698,3057,2743,2824,3520,4149,3106,3311,2932,2824,2965,3026,3137,2957,3088,3057,2886,3264,3082,3011,3120,2932,2794,2780,2698,4180,3010,2686,2699,2856,2950,2932,2714,2792,2698,2745,2761,2823,2671,2761,2745,2714,2761,2932,2968,2919,2964,2932,2997,2919,3011,2871,2982,2873,2754,2731,2730,2698,2683,2765,2698,2730,2698,2776,2698,3392,5300,6936,5818,3906,2924,2825,2781,3611,3035,2787,2823,2746,2886,2730,3042,2652,2821,2747,2683,2718,2669,2933,2683,2969,2683,2701,2652,2654,2685,2636,2814,
