256, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
512, 0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1024, 0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
2048, 0,0,15,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,15,0,0,15,0,0,15,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,15,0,0,0,0,0,0,15,0,15,0,0,0,15,0,0,15,0,0,15,0,0,15,
4096, 15,15,31,15,15,15,15,31,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,31,15,15,15,15,15,15,15,15,31,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,31,15,15,15,15,15,15,15,15,31,15,15,15,15,15,15,31,15,15,15,15,15,15,31,15,15,15,15,15,15,15,15,15,15,15,
8192, 93,78,93,78,93,78,93,78,93,93,78,93,78,93,78,93,78,78,78,78,93,93,78,93,78,93,78,78,78,93,93,78,93,78,78,93,93,78,93,78,93,78,93,78,93,78,93,78,93,78,93,78,93,78,93,93,78,93,78,93,78,93,93,78,78,78,78,93,78,93,78,93,78,93,78,78,78,78,93,78,78,93,93,78,93,78,78,78,93,78,93,78,78,93,78,93,78,78,78,78,
16384, 392,390,390,405,390,390,405,390,405,390,390,374,390,405,374,390,405,376,391,390,390,406,390,390,406,390,391,392,390,405,390,405,390,390,405,390,390,390,405,405,390,390,390,390,390,390,390,390,405,405,405,390,405,390,390,390,405,390,405,390,405,405,390,405,405,374,390,374,390,390,405,390,374,374,405,391,390,376,374,405,390,405,390,405,374,390,374,374,405,374,395,379,390,392,405,405,405,405,390,405,
32768, 1684,1653,1702,1684,1700,1653,1685,1670,1700,1700,1700,1669,1686,1700,1653,1669,1702,1686,1669,1671,1701,1671,1716,1701,1719,1684,1669,1684,1716,1669,1685,1700,1673,1700,1702,1684,1702,1684,1700,1653,1700,1686,1700,1701,1655,1684,1669,1700,1685,1684,1684,1700,1671,1716,1684,1669,1658,1684,1669,1684,1702,1684,1669,1716,1700,1700,1686,1684,1670,1686,1703,1670,1684,1700,1669,1702,1655,1701,1672,1700,1640,1673,1700,1669,1677,1669,1700,1684,1686,1684,1669,1700,1684,1686,1702,1684,1716,1716,1669,1704,
65536, 6975,6945,6926,6975,6962,6975,6910,6960,6944,7004,7008,7004,6913,6900,6992,6942,6927,6944,6951,6982,6974,6942,6908,7012,7035,6989,7017,6963,7104,6942,6973,6977,6958,7053,7005,6959,6948,6963,6957,7020,6894,7007,6973,7007,6912,6913,7041,7000,6991,6978,7036,7004,7000,6944,6973,6977,6944,7008,7070,6973,6947,7007,6975,7004,7023,7025,6980,6991,6988,6977,6961,6934,6988,6966,6975,6997,6976,6991,6992,6975,6928,6957,6961,6942,6999,7189,7100,7020,6961,6942,6974,6980,6910,6992,7005,6964,6976,6978,6927,6957,
